#{"t_start": 1727545860.1016, "env_id": "BipedalWalker-v3"}
r,l,t
-31.04659,1600,154.377864
-38.834592,1600,155.077594
-46.256814,1600,155.80417
-15.238469,1600,156.249248
-50.497447,1600,156.980188
-26.638382,1600,157.70923
-116.620013,948,157.973525
-119.068543,969,158.525031
-11.171247,1600,159.258498
-37.479306,1600,159.737627
-34.900778,1600,160.476826
-37.261482,1600,161.18516
-26.56879,1600,161.918003
-30.881276,1600,162.657137
-11.908828,1600,163.103369
-21.735769,1600,163.822562
-40.495309,1600,164.564784
-27.36143,1600,165.288428
-29.697151,1600,166.026997
-13.866549,1600,166.46722
-129.157909,1275,167.108692
-25.694434,1600,167.845682
-39.995935,1600,168.303871
-27.646832,1600,169.080681
-12.329752,1600,169.805993
-43.845679,1600,170.558057
-34.571147,1600,171.297871
-30.342025,1600,171.756101
-30.723935,1600,172.480616
-37.604474,1600,173.222618
-18.958577,1600,173.94217
-24.899232,1600,174.678713
-22.084569,1600,175.166664
-23.351286,1600,175.91469
-51.502916,1600,176.649398
-11.809918,1600,177.382087
-20.522578,1600,177.86041
-14.741185,1600,178.599431
-47.227881,1600,179.325847
-27.996896,1600,180.113688
-54.062211,1600,180.836493
-55.359513,1600,181.326588
-43.96888,1600,182.055068
-32.004507,1600,182.788645
-20.459578,1600,183.503355
-54.977764,1600,183.991265
-41.34414,1600,184.723558
-47.129867,1600,185.456228
-24.210641,1600,186.201979
-30.499429,1600,186.91335
-24.008139,1600,187.41027
-12.605013,1600,188.174885
-26.205135,1600,188.905139
-28.163394,1600,189.630608
-45.480956,1600,190.099022
-29.277647,1600,190.842241
-41.385189,1600,191.588548
-48.773578,1600,192.356769
-28.357049,1600,193.082005
-49.805461,1600,193.54697
-45.753619,1600,194.280064
-52.924877,1600,194.980871
-20.684838,1600,195.708364
-41.4269,1600,196.442042
-26.694607,1600,196.91082
-51.884179,1600,197.632964
-50.134492,1600,198.366685
-61.81037,1600,199.086564
-14.299238,1600,199.526547
-33.327814,1600,200.277477
-45.128347,1600,201.010194
-40.912595,1600,201.737151
-49.006787,1600,202.450471
-115.408178,1600,202.897284
-43.615642,1600,203.641693
-22.723207,1600,204.397365
-32.052828,1600,205.14243
-110.05106,1600,205.60666
-36.884736,1600,206.340115
-41.897869,1600,207.093599
-39.086474,1600,207.851867
-111.742571,1600,208.55881
-46.903813,1600,209.027988
-43.321629,1600,209.760732
-46.200425,1600,210.495636
-48.577257,1600,211.243053
-108.639486,1600,211.682659
-55.918735,1600,212.425938
-41.894604,1600,213.170036
-45.167417,1600,213.899098
-38.928765,1600,214.622169
-44.311029,1600,215.089799
-39.834627,1600,215.837549
-50.097187,1600,216.577907
