#{"t_start": 1727523609.460139, "env_id": "BipedalWalker-v3"}
r,l,t
-103.527339,282,62.004033
-110.182026,65,62.036021
-105.85461,114,62.092447
-94.737479,169,62.176529
-109.002741,86,62.218392
-110.745009,143,62.287753
-96.258384,265,62.416718
-107.156941,97,62.464818
-128.573444,126,62.525788
-105.816177,222,62.634487
-129.418867,592,62.928258
-125.829842,101,62.978111
-129.040302,1600,63.758806
-96.353596,204,63.861434
-203.440953,1349,64.516831
-113.587107,261,64.645247
-125.473409,1600,65.423466
-105.192286,274,65.560786
-184.693711,1018,66.060984
-99.287188,176,66.147666
-92.599804,327,66.310398
-123.590712,617,66.611337
-206.598235,1418,67.317424
-127.574514,529,67.579883
-110.134919,741,67.948336
-111.761929,220,68.05894
-128.274425,479,68.29712
-98.052197,211,68.402478
-98.686189,220,68.512515
-142.96463,567,68.793274
-144.724044,893,69.23721
-147.974948,759,69.622228
-100.826397,130,69.688174
-107.598115,1600,70.513779
-100.910163,159,70.597166
-109.708306,91,70.647754
-143.938741,692,71.00341
-103.765792,154,71.084725
-99.775864,150,71.163127
-125.543697,1600,71.978696
-98.466993,136,72.049598
-84.309767,1600,72.878682
-111.332196,193,72.98037
-100.109924,150,73.059398
-104.78109,106,73.114427
-127.174299,1600,73.936875
-98.091433,218,74.049061
-109.662564,1600,74.889253
-77.921465,275,75.032909
-93.537201,208,75.140957
-133.112064,589,75.450943
-97.917997,197,75.554917
-158.52727,813,75.975334
-75.725267,1600,76.824878
-119.275016,75,76.865307
-121.347104,319,77.03443
-113.814036,348,77.223762
-129.930068,456,77.467212
-114.401208,338,77.65075
-100.937738,299,77.811076
-183.815785,1396,78.564297
-98.527274,218,78.682397
-97.057227,215,78.799051
-108.710786,37,78.820532
-189.039567,1157,79.445376
-165.172464,963,79.962369
-105.384321,678,80.334398
-94.690242,266,80.478961
-107.832668,54,80.510743
-124.334862,545,80.808326
-83.983517,242,80.943279
-107.952703,549,81.244713
-136.481998,1600,82.122377
-94.611741,271,82.272798
-93.339163,226,82.397075
-95.427026,191,82.50513
-103.430812,715,82.900794
-113.608099,687,83.290054
-125.802908,1600,84.20056
-162.182575,1377,84.999073
-110.106585,30,85.018217
-113.874026,643,85.406165
-84.84958,387,85.635511
-111.857698,344,85.844741
-99.71652,1600,86.811349
-108.719782,1600,87.785913
-123.373971,1600,88.764964
-105.533811,318,88.965189
-176.267548,1347,89.80247
-90.919151,1600,90.808855
-90.205957,1600,91.845015
-117.864766,516,92.184722
