#{"t_start": 1727524353.952538, "env_id": "BipedalWalker-v3"}
r,l,t
-97.659923,294,125.316351
-49.598532,1600,126.477438
-54.276713,1600,127.646291
-60.542228,1600,128.749305
-102.706129,414,128.962014
-44.870213,1600,130.107275
-93.693458,238,130.238088
-63.514214,1600,131.36318
-87.438731,1600,132.13639
-93.901424,230,132.643323
-63.687863,1600,133.461991
-73.529757,1600,134.686948
-92.957748,111,134.740142
-78.130104,1600,135.920202
-72.188444,1600,137.125227
-79.771906,1600,137.917823
-56.445482,1600,139.177547
-95.419376,267,139.304983
-92.305167,221,139.823738
-55.737108,1600,140.679968
-95.228627,247,140.796492
-87.306453,1600,142.058885
-83.80398,1600,143.398924
-91.400821,203,143.515249
-66.318801,1600,144.836435
-97.622202,300,145.002862
-67.450375,1600,146.321568
-53.96715,1600,147.673128
-91.720715,195,147.782483
-62.769279,1600,148.645309
-64.582074,1600,149.972143
-89.62363,171,150.06868
-61.499424,1600,151.375683
-62.17181,1600,152.683772
-89.897092,181,152.784633
-95.456267,277,152.937133
-70.521124,1600,154.243115
-61.842377,1600,155.555222
-50.426615,1600,156.402616
-49.128416,1600,157.765077
-90.325047,168,157.863327
-49.262733,1600,159.278474
-51.865215,1600,160.590363
-90.052267,178,160.690562
-44.103732,1600,162.046939
-44.722135,1600,163.340442
-91.281447,206,163.455788
-71.951474,1600,164.306401
-93.264376,229,164.41492
-91.885674,187,164.94998
-49.293688,1600,165.804186
-93.876971,238,165.919305
-68.364281,1600,167.220513
-49.554302,1600,168.525739
-44.120265,1600,169.822403
-93.083767,218,169.943788
-95.166877,263,170.088302
-91.47817,210,170.204162
-94.070931,235,170.333501
-70.182689,1600,171.643877
-34.800591,1600,172.96714
-92.190748,215,173.087535
-92.803554,215,173.206994
-65.650225,1600,174.564371
-93.85531,215,174.685852
-70.828167,1600,175.999837
-90.488576,162,176.091216
-91.064763,200,176.202877
-59.484357,1600,177.520335
-48.258879,1600,178.375244
-69.022125,1600,179.643123
-95.076298,272,179.775214
-98.388928,325,180.348597
-85.272877,1600,181.181642
-94.96477,263,181.306051
-45.311799,1600,182.586777
-124.210011,757,183.367648
-91.727172,220,183.488953
-49.009165,1600,184.296681
-99.788452,352,184.905352
-44.059527,1600,185.752189
-91.491023,217,186.271988
-69.983097,1600,187.110224
-92.023664,198,187.20525
-93.577379,241,187.74025
-96.291501,299,187.905452
-42.422518,1600,188.746274
-66.558653,1600,190.019745
-42.239802,1600,191.384057
-61.744886,1600,192.688905
-102.770303,402,192.909469
-92.583783,213,193.027062
-41.007262,1600,194.268376
-71.149564,1600,195.484453
-72.820816,1600,196.289913
-92.053394,212,196.804033
-47.891808,1600,197.643348
-96.090809,254,197.753124
-41.031947,1600,199.008104
-95.943478,285,199.139336
-68.934977,1600,200.367819
-66.711062,1600,201.580109
-94.571543,253,201.720765
-93.517887,241,201.841444
-90.563501,196,201.935225
-44.578521,1600,203.166327
-97.666247,319,203.321694
-89.070655,171,203.405053
-50.033357,1600,204.631309
-92.413036,201,204.729704
-46.305888,1600,205.935419
-48.073084,1600,207.232746
-91.942423,212,207.351974
-47.739139,1600,208.582296
-94.84655,252,208.720498
-56.698949,1600,209.91319
-100.470354,342,210.099661
-45.791312,1600,210.880564
-92.717996,214,211.400011
-59.273692,1600,212.204251
-44.689104,1600,213.429452
-34.270654,1600,214.627963
-72.325559,1600,215.780647
-43.906373,1600,216.538872
-44.63878,1600,217.74303
-80.454233,1600,218.935176
-45.132545,1600,220.099661
-70.704708,1600,221.230377
-55.613489,1600,222.065398
-37.694468,1600,223.341476
-38.679467,1600,224.567419
-69.656253,1600,225.751148
-22.078443,1600,226.932506
-63.251373,1600,227.737919
-36.260518,1600,228.961215
-42.285973,1600,230.156467
-65.114728,1600,231.32546
-61.195945,1600,232.110978
-43.124488,1600,233.31786
-36.871763,1600,234.492165
-65.065016,1600,235.631165
-91.199805,202,235.745859
-30.920709,1600,236.855785
